Patron,Card Barcode,Year Joined,Patron Phone,Book Barcode,Title,Year,Author,Author Year,Publisher,Publisher Phone,Checkout,Due,Returned
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,8779561008365959778326648,Batatyachi Chal,1720,Deshpande P L,1849,HighStakes,218.696.0130,2458138.5,2458147.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,9602041002420031805638991,Tales of Beedle the Bard,1592,"Rowling, J K",1665,HighStakes,218.696.0130,2458262.5,2458309.5,1
Marth Rios,3297401549040544850673714,2001,+1-(403)-235-0591,8064058485183833012249531,"Discovery of India, The",1340,"Nehru, Jawaharlal",1696,O'Reilly,1-122-313-8760,2458161.5,2458165.5,1
Sebastian Cohen,3793207514512264318315954,2009,130-139-3755,5413839520212753038601036,Hafasavnuk,1744,Deshpande P L,1849,Mauj,(281) 493-2802,2458300.5,2458315.5,1
Harvey Hopkins,7082077589814192654667622,2011,274-929-3335,6669141732209744465852752,Asami Asami,1552,"Deshpande, P L",1545,FreePress,890.262.9357,2458162.5,2458172.5,1
Mose Chambers,7900253221375390247431920,2007,1-631-997-5729,4521061084568738050335069,Char Shabda,1526,"Deshpande, P L",1545,Orient Blackswan,552-486-8974,2458126.5,2458137.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,1668941799125194570704934,Hafasavnuk,1812,Deshpande P L,1849,Jaico,253.778.3477,2458227.5,2458238.5,1
Bryan David,0557932438548234219826200,2004,1-581-451-6359,3543058551426207467616544,"Prince, The",1804,Machiavelli,1633,Elsevier,359.226.5396,2458288.5,2458291.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,0445222634629551807889948,"Case of the Lame Canary, The",1109,"Gardner, Earle Stanley",1919,Pocket,(933) 603-7079,2458239.5,2458269.5,1
Asa Small,9637502981006384207558569,1971,1-240-960-8564,1449091952703374588930085,Freakonomics,1394,"Dubner, Stephen",1810,Jaico,253.778.3477,2458278.5,2458297.5,1
Heidy Brown,3702063940161967967517232,1981,973.074.4226,9014265587204686734360006,20000 Leagues Under the Sea,1449,"Verne, Jules",1455,Pearson,1-293-811-9652,2458314.5,2458317.5,1
Delta Madden,3182092287621293391012318,1982,100-265-1517,1531268548524308381135283,"Idea of Justice, The",1684,"Sen, Amartya",1705,Random,+1-(530)-757-4100,2458168.5,2458190.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,9869189766735894633452495,Maqta-e-Ghalib,1520,"Garg, Sanjay",1933,TMH,1-239-558-4462,2458141.5,2458142.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,8886751620348714559457317,Burning Bright,1094,"Steinbeck, John",1733,FreePress,890.262.9357,2458215.5,2458230.5,1
Jere Walker,8086577402953859803185252,2006,(803) 887-2176,1682087072930662557391340,O Jerusalem!,1850,"Lapierre, Dominique",1804,O'Reilly,1-122-313-8760,2458255.5,2458280.5,1
Gregory Weeks,2434077194010219727211403,2006,1-987-121-2418,1354002486561748640326865,One,1365,"Bach, Richard",1468,Simon&Schuster,1-242-414-8385,2458242.5,2458244.5,1
Harvey Hopkins,7082077589814192654667622,2011,274-929-3335,3909875104169285968359537,"Nature of Statistical Learning Theory, The",1964,"Vapnik, Vladimir",1452,Mauj,(281) 493-2802,2458515.5,2458522.5,0
Bill Morales,5713468365007349888696601,2015,902.994.6482,9613946709714422255686006,"Argumentative Indian, The",1062,"Sen, Amartya",1705,Penguin,824.149.4511,2458307.5,2458314.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,2344198270063844024445662,Broca's Brain,1619,"Sagan, Carl",1487,TMH,1-239-558-4462,2458237.5,2458246.5,1
Sebastian Cohen,3793207514512264318315954,2009,130-139-3755,3529272858534937720244040,"Nature of Statistical Learning Theory, The",1971,"Vapnik, Vladimir",1452,Springer,(279) 282-8193,2458120.5,2458130.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,8381987145952843198543138,"Story of Philosophy, The",1665,"Durant, Will",1782,Random,+1-(530)-757-4100,2458302.5,2458318.5,1
Gregory Weeks,2434077194010219727211403,2006,1-987-121-2418,2861345103149781733395861,"Complete Sherlock Holmes, The - Vol I",1834,"Doyle, Arthur Conan",1416,Transworld,1-291-560-4782,2458143.5,2458146.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,0791321294183883808600071,Jurassic Park,1711,"Crichton, Michael",1655,Routledge,+1-(476)-431-0927,2458246.5,2458316.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,5518996882064562505423731,"Story of Philosophy, The",1402,"Durant, Will",1782,Bodley Head,(172) 571-4178,2458253.5,2458298.5,1
Marth Rios,3297401549040544850673714,2001,+1-(403)-235-0591,7214864044527824242711996,Crime and Punishment,1558,"Dostoevsky, Fyodor",1591,FreePress,890.262.9357,2458208.5,2458243.5,1
Wade Gaines,6945025963981238672782685,1984,+1-(726)-673-3696,0965820288613214225857499,Machine Learning for Hackers,1314,"Conway, Drew",1924,Hyperion,882.640.9487,2458282.5,2458318.5,1
Reynaldo Malone,9513351377461751446473441,2006,(652) 661-9259,4924293962686365949026909,Sea of Poppies,1290,"Ghosh, Amitav",1628,Random House,502.110.3821,2458251.5,2458268.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,8887868746867410636573742,Angels & Demons,1410,"Brown, Dan",1404,BBC,(277) 273-2102,2458305.5,2458317.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,7064216184972567585230996,"Moon and Sixpence, The",1550,"Maugham, William S",1611,Apress,836.632.0273,2458281.5,2458284.5,1
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,4070932311933311404905757,Fundamentals of Wavelets,1629,"Goswami, Jaideva",1818,CRC,+1-(724)-740-6946,2458170.5,2458205.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,1478626599173317900122487,Jim Corbett Omnibus,1761,"Corbett, Jim",1667,Wiley,024-858-6102,2458288.5,2458313.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,3322335034014147026049852,Crime and Punishment,1074,"Dostoevsky, Fyodor",1591,Dell,+1-(172)-750-1157,2458172.5,2458195.5,1
Dallas French,0189639962362105313664589,1991,140.869.7386,9048343538841502827064508,Free Will,1808,"Harris, Sam",1510,TMH,1-239-558-4462,2458249.5,2458256.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,2678171640944880061106824,One,1481,"Bach, Richard",1468,Orient Blackswan,552-486-8974,2458204.5,2458248.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,3374478771684610521729670,Neural Networks,1530,"Haykin, Simon",1496,Random,+1-(530)-757-4100,2458163.5,2458195.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,7395972690576190378694160,Talking Straight,1714,"Iacoca, Lee",1432,CRC,+1-(724)-740-6946,2458174.5,2458243.5,1
Delena Sullivan,8498351372896461272725085,2009,(045) 577-7192,4345030875307117839580478,God Created the Integers,1744,"Hawking, Stephen",1440,Penguin,824.149.4511,2458235.5,2458239.5,1
Sebastian Cohen,3793207514512264318315954,2009,130-139-3755,2646126452097889973623368,Burning Bright,1846,"Steinbeck, John",1733,Penguin,824.149.4511,2458121.5,2458147.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,7398507899823684865986644,"Winter of Our Discontent, The",1154,"Steinbeck, John",1733,Random House,502.110.3821,2458299.5,2458318.5,1
Dong Russell,6781424783535223369763430,2000,(369) 967-4118,1414262599466942888155802,Animal Farm,1293,"Orwell, George",1589,HighStakes,218.696.0130,2458151.5,2458174.5,1
Matt Hurst,3241180046098034750673298,2016,(506) 673-5347,2089610412283717746396051,Bookless in Baghdad,1734,"Tharoor, Shashi",1790,Elsevier,359.226.5396,2458251.5,2458261.5,1
Matt Hurst,3241180046098034750673298,2016,(506) 673-5347,6062048558483981465503257,"Ropemaker, The",1252,"Dickinson, Peter",1441,BBC,(277) 273-2102,2458275.5,2458301.5,1
Emelia Bryan,4676965825837310239279272,1972,(971) 534-8744,7739315356739622825568379,"Story of Philosophy, The",1105,"Durant, Will",1782,CRC,+1-(724)-740-6946,2458266.5,2458276.5,1
Lawerence Marks,9038345780945157307609335,1992,992-344-1311,4422279234089894389708018,Unpopular Essays,1704,"Russell, Bertrand",1901,Pan,1-663-594-1588,2458201.5,2458209.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,4263025236470564987529842,"Winter of Our Discontent, The",1841,"Steinbeck, John",1733,Pan,1-663-594-1588,2458290.5,2458302.5,1
Emery Byrd,6559549596782707989229204,1971,(463) 978-2687,3242102225312354581064223,Learning OpenCV,1632,"Bradsky, Gary",1890,Springer,(279) 282-8193,2458203.5,2458216.5,1
Gerald Roberts,9960311807383440268126404,1978,861.515.6683,0346092531219501431369633,"Moon is Down, The",1974,"Steinbeck, John",1733,Prentice Hall,1-047-873-5865,2458200.5,2458201.5,1
Jere Walker,8086577402953859803185252,2006,(803) 887-2176,1669475850395455034489274,Maqta-e-Ghalib,1624,"Garg, Sanjay",1933,Springer,(279) 282-8193,2458271.5,2458318.5,1
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,1797896016093912080723061,"Prince, The",1500,Machiavelli,1633,Random House,502.110.3821,2458121.5,2458132.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,8107190841209006545597611,Power Electronics,1223,"Mohan, Ned",1977,Simon&Schuster,1-242-414-8385,2458134.5,2458156.5,1
Bryan David,0557932438548234219826200,2004,1-581-451-6359,9614925545541789273108773,Machine Learning for Hackers,1191,"Conway, Drew",1924,Transworld,1-291-560-4782,2458286.5,2458296.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,2729645754442569541836637,Machine Learning for Hackers,1728,"Conway, Drew",1924,Dell,+1-(172)-750-1157,2458512.5,2458519.5,0
Jc Ratliff,5590283029754282816780572,1987,+1-(448)-483-3507,1730188550388867682194190,One,1185,"Bach, Richard",1468,Pearson,1-293-811-9652,2458173.5,2458176.5,1
Efrain Snider,1924305381240284244694618,2004,392-156-2895,0013252039169245362154207,"Amulet of Samarkand, The",1087,"Stroud, Jonathan",1996,Elsevier,359.226.5396,2458148.5,2458198.5,1
Lamont Sullivan,8126690944321555727027779,1975,(613) 040-9029,9694240691100040687520254,City of Djinns,1900,"Dalrymple, William",1795,Pocket,(933) 603-7079,2458293.5,2458295.5,1
Bernetta Hewitt,7462062715787506691998431,2003,+1-(272)-958-2247,9802951200377911464789129,"New Machiavelli, The",1251,"Wells, H. G.",1925,Dell,+1-(172)-750-1157,2458252.5,2458314.5,1
Barney Hart,5128664476629915847604278,1982,959.342.6988,8588500420227756083530268,Girl who played with Fire,1212,"Larsson, Steig",1938,HBA,210.406.2584,2458265.5,2458266.5,1
Zane Irwin,2896552070462588416602920,1986,1-302-958-5583,6119406686960437284423323,Jim Corbett Omnibus,1898,"Corbett, Jim",1667,Apress,836.632.0273,2458233.5,2458235.5,1
Gerald Roberts,9960311807383440268126404,1978,861.515.6683,0934989500350616404961333,Python for Data Analysis,1902,"McKinney, Wes",1430,Transworld,1-291-560-4782,2458186.5,2458226.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,5012079415525025493913663,"Code Book, The",1724,"Singh, Simon",1772,Wiley,024-858-6102,2458120.5,2458135.5,1
Josef Suarez,5062216475407120681295148,1997,1-833-273-5807,5927058205695276416224631,Image Processing with MATLAB,1567,"Eddins, Steve",1976,HBA,210.406.2584,2458196.5,2458205.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,6116820441849973439951703,Eyeless in Gaza,1098,"Huxley, Aldous",1515,Mauj,(281) 493-2802,2458203.5,2458217.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,7276766036085872065323145,"History of England, Foundation",1573,"Ackroyd, Peter",1516,Elsevier,359.226.5396,2458152.5,2458157.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,1310366123900675450451736,Uncommon Wisdom,1707,"Capra, Fritjof",1934,Pan,1-663-594-1588,2458145.5,2458147.5,1
Tam Bridges,3457412497367125139913550,2015,402.555.4217,5387543224384485882093615,Freedom at Midnight,1759,"Lapierre, Dominique",1804,Simon&Schuster,1-242-414-8385,2458198.5,2458297.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,0934989500350616404961333,Python for Data Analysis,1902,"McKinney, Wes",1430,Transworld,1-291-560-4782,2458145.5,2458181.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,3083475216777221567065131,"Prince, The",1248,Machiavelli,1633,TMH,1-239-558-4462,2458254.5,2458272.5,1
Sydney Richmond,4022335375794614600991850,1989,(836) 884-0853,0540398800777739751146014,Crime and Punishment,1976,"Dostoevsky, Fyodor",1591,Hyperion,882.640.9487,2458260.5,2458301.5,1
Delta Madden,3182092287621293391012318,1982,100-265-1517,1775452377552271807477501,"Short History of the World, A",1670,"Wells, H G",1862,Pan,1-663-594-1588,2458220.5,2458226.5,1
Gregory Weeks,2434077194010219727211403,2006,1-987-121-2418,0451484187427241107676895,Python for Data Analysis,1396,"McKinney, Wes",1430,O'Reilly,1-122-313-8760,2458162.5,2458166.5,1
Delta Madden,3182092287621293391012318,1982,100-265-1517,5824533884617994097002067,"Judge, The",1853,Rene Caesar,1549,HBA,210.406.2584,2458169.5,2458172.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,3103850133867804047293393,"Last Lecture, The",1935,"Pausch, Randy",1468,Elsevier,359.226.5396,2458190.5,2458243.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,5248712163271358907084770,Ayn Rand Answers,1551,"Rand, Ayn",1805,Hyperion,882.640.9487,2458286.5,2458308.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,2955920574012814996822511,Let Us C,1286,"Kanetkar, Yashwant",1987,MIT Press,+1-(514)-735-5947,2458185.5,2458194.5,1
France Tucker,0591816218593958416466566,1998,1-755-712-2238,9896100467569329877615098,"Arthashastra, The",1942,Kautiyla,1731,Vintage,1-501-202-7994,2458266.5,2458280.5,1
Lonny Duffy,1315125572084926153778412,2012,773-202-5135,8097309744132910145917762,"Moon and Sixpence, The",1476,"Maugham, William S",1611,Prentice Hall,1-047-873-5865,2458156.5,2458159.5,1
France Odom,1654932546761794379116424,1981,1-589-940-8952,3423641654094231229976917,"Drunkard's Walk, The",1334,"Mlodinow, Leonard",1402,Penguin,824.149.4511,2458156.5,2458186.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,8828920672659098875861306,New Markets & Other Essays,1255,"Drucker, Peter",1512,Penguin,824.149.4511,2458186.5,2458242.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,1954595386023624885203438,"Tao of Physics, The",1048,"Capra, Fritjof",1934,HBA,210.406.2584,2458240.5,2458259.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,5865092709576336078197227,We the People,1353,Palkhivala,1925,Pan,1-663-594-1588,2458266.5,2458273.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,0488400531612683610115722,"History of England, Foundation",1709,"Ackroyd, Peter",1516,Simon&Schuster,1-242-414-8385,2458263.5,2458307.5,1
Olin Gates,6821642241715136502939452,1987,1-072-582-2952,5676891346091922257648770,We the People,1515,Palkhivala,1925,FreePress,890.262.9357,2458193.5,2458214.5,1
Leon Barry,7615220844686319876562533,1995,993.537.6943,3782838966203843470045691,Let Us C,1902,"Kanetkar, Yashwant",1987,Routledge,+1-(476)-431-0927,2458249.5,2458260.5,1
Louie Kirk,3091734774841364634443101,1990,+1-(849)-040-3851,5709023571849132659589125,Empire of the Mughal - The Serpent's Tooth,1720,"Rutherford, Alex",1765,Bodley Head,(172) 571-4178,2458239.5,2458241.5,1
Irmgard Harding,5167849246197346073040370,1994,1-235-585-9499,2507564347749904697190205,Free Will,1983,"Harris, Sam",1510,Transworld,1-291-560-4782,2458126.5,2458140.5,1
Sarina Burke,0235356710463171343109006,1972,(928) 158-6622,1850708192908945361592374,History of Western Philosophy,1570,"Russell, Bertrand",1901,HighStakes,218.696.0130,2458172.5,2458235.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,8164518606002333158302045,Mossad,1959,"Baz-Zohar, Michael",1544,Prentice Hall,1-047-873-5865,2458177.5,2458214.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,0481675162454250625677300,In a Free State,1934,"Naipaul, V. S.",1867,Hyperion,882.640.9487,2458247.5,2458248.5,1
Trent Turner,3333307133453377475757611,1971,1-558-908-9420,5088900167265876348510069,Philosophy: Who Needs It,1226,"Rand, Ayn",1805,Vintage,1-501-202-7994,2458167.5,2458209.5,1
Tam Bridges,3457412497367125139913550,2015,402.555.4217,8908630530303693289094627,"Last Mughal, The",1104,"Dalrymple, William",1795,Simon&Schuster,1-242-414-8385,2458232.5,2458250.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,7592506949162432096787360,Doctor in the Nude,1323,"Gordon, Richard",1845,Springer,(279) 282-8193,2458237.5,2458261.5,1
France Odom,1654932546761794379116424,1981,1-589-940-8952,5248712163271358907084770,Ayn Rand Answers,1551,"Rand, Ayn",1805,Hyperion,882.640.9487,2458137.5,2458144.5,1
France Tucker,0591816218593958416466566,1998,1-755-712-2238,1067905627151291190865893,"History of England, Foundation",1934,"Ackroyd, Peter",1516,TMH,1-239-558-4462,2458181.5,2458188.5,1
Kim Briggs,8879917779052017236449519,2010,1-474-974-0736,5251774705257773490423642,"Signal and the Noise, The",1258,"Silver, Nate",1469,Prentice Hall,1-047-873-5865,2458300.5,2458312.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,4065458199739908377635787,Textbook of Economic Theory,1610,"Stonier, Alfred",1849,Elsevier,359.226.5396,2458243.5,2458304.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,1406063637526780065314078,Data Scientists at Work,1832,Sebastian Gutierrez,1418,Random House,502.110.3821,2458493.5,2458500.5,0
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,4557095741865313233785198,Angels & Demons,1254,"Brown, Dan",1404,MIT Press,+1-(514)-735-5947,2458254.5,2458259.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,5731995988399767723318593,"Prisoner of Birth, A",1641,"Archer, Jeffery",1565,HBA,210.406.2584,2458302.5,2458306.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,3374478771684610521729670,Neural Networks,1530,"Haykin, Simon",1496,Random,+1-(530)-757-4100,2458197.5,2458205.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,6877563794006550023902854,"Ropemaker, The",1836,"Dickinson, Peter",1441,Dell,+1-(172)-750-1157,2458129.5,2458143.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,8207072219728250177293085,"Computer Vision, A Modern Approach",1261,"Forsyth, David",1826,Prentice Hall,1-047-873-5865,2458181.5,2458215.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,2578836023034639986738908,Batatyachi Chal,1425,Deshpande P L,1849,Penguin,824.149.4511,2458224.5,2458272.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,1540705189550899244197392,Textbook of Economic Theory,1781,"Stonier, Alfred",1849,O'Reilly,1-122-313-8760,2458138.5,2458148.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,2933948079502706291187117,New Markets & Other Essays,1806,"Drucker, Peter",1512,Elsevier,359.226.5396,2458186.5,2458209.5,1
Wade Gaines,6945025963981238672782685,1984,+1-(726)-673-3696,1442654662459492358688979,"Prisoner of Birth, A",1418,"Archer, Jeffery",1565,Rupa,695-251-0415,2458520.5,2458527.5,0
Emelia Bryan,4676965825837310239279272,1972,(971) 534-8744,9706876193739082182236862,Eyeless in Gaza,1713,"Huxley, Aldous",1515,HighStakes,218.696.0130,2458227.5,2458259.5,1
Heidy Brown,3702063940161967967517232,1981,973.074.4226,7782132830162020543035538,Jim Corbett Omnibus,1523,"Corbett, Jim",1667,Pearson,1-293-811-9652,2458202.5,2458220.5,1
Lenard Olson,1475803681005173075801362,1984,+1-(042)-850-6468,5288360356720548754057957,Jim Corbett Omnibus,1208,"Corbett, Jim",1667,Jaico,253.778.3477,2458235.5,2458244.5,1
Yanira Wheeler,2357667128359497769894125,1997,+1-(102)-891-7197,8868039067951129134673220,Ashenden of The British Agent,1917,"Maugham, William S",1611,HBA,210.406.2584,2458288.5,2458314.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,8009770429241757523470199,Structure & Interpretation of Computer Programs,1469,"Sussman, Gerald",1538,Rupa,695-251-0415,2458289.5,2458295.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,6690509645198016846575364,"Computer Vision, A Modern Approach",1551,"Forsyth, David",1826,CRC,+1-(724)-740-6946,2458198.5,2458215.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,3274819550985601157226970,Econometric Analysis,1453,"Greene, W. H.",1993,Pan,1-663-594-1588,2458288.5,2458307.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,8547559881460840864604077,Asami Asami,1528,"Deshpande, P L",1545,Random House,502.110.3821,2458275.5,2458296.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,5060299141806142942394059,Once There Was a War,1892,"Steinbeck, John",1733,MIT Press,+1-(514)-735-5947,2458124.5,2458135.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,7514760992563642608565508,Data Scientists at Work,1724,Sebastian Gutierrez,1418,Vintage,1-501-202-7994,2458134.5,2458159.5,1
Debera O'brien,6214363074495132443186434,1970,514-466-6139,1341406182730564806048481,New Markets & Other Essays,1547,"Drucker, Peter",1512,Apress,836.632.0273,2458295.5,2458317.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,5444615593882714413204137,20000 Leagues Under the Sea,1018,"Verne, Jules",1455,Orient Blackswan,552-486-8974,2458292.5,2458318.5,1
Harvey Hopkins,7082077589814192654667622,2011,274-929-3335,2238613017000273331038639,"Christmas Carol, A",1768,"Dickens, Charles",1438,Apress,836.632.0273,2458254.5,2458299.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,2663228544294581382138461,Girl with the Dragon Tattoo,1141,"Larsson, Steig",1938,Simon&Schuster,1-242-414-8385,2458130.5,2458134.5,1
Damon Wilcox,0978988811374945714447886,1998,735-605-9155,1310366123900675450451736,Uncommon Wisdom,1707,"Capra, Fritjof",1934,Pan,1-663-594-1588,2458208.5,2458225.5,1
Trent Turner,3333307133453377475757611,1971,1-558-908-9420,2179576061500025225780447,Bookless in Baghdad,1139,"Tharoor, Shashi",1790,HighStakes,218.696.0130,2458124.5,2458133.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,3804625194567632695481085,Dylan on Dylan,1740,"Dylan, Bob",1443,Hyperion,882.640.9487,2458182.5,2458191.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,2222119915703839756182323,Broca's Brain,1845,"Sagan, Carl",1487,Pocket,(933) 603-7079,2458279.5,2458287.5,1
Josef Suarez,5062216475407120681295148,1997,1-833-273-5807,7551224602360960784176871,Doctor on the Brain,1330,"Gordon, Richard",1845,HarperCollins,(158) 998-2435,2458157.5,2458178.5,1
Gregory Weeks,0081473062840273608574024,2007,(125) 458-8117,1422535008840525153533348,Uncommon Wisdom,1773,"Capra, Fritjof",1934,vikas,084-702-6767,2458141.5,2458164.5,1
Kayleigh Lambert,2700145311443270916061106,1975,840-831-4174,5248712163271358907084770,Ayn Rand Answers,1551,"Rand, Ayn",1805,Hyperion,882.640.9487,2458257.5,2458271.5,1
Louie Kirk,3091734774841364634443101,1990,+1-(849)-040-3851,3160482817515670444434416,How to Think Like Sherlock Holmes,1975,"Konnikova, Maria",1501,Wiley,024-858-6102,2458121.5,2458160.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,0689519914975431416725972,Physics & Philosophy,1664,"Heisenberg, Werner",1460,Random,+1-(530)-757-4100,2458122.5,2458129.5,1
Sebastian Cohen,3793207514512264318315954,2009,130-139-3755,6506780288949741267277019,Free Will,1613,"Harris, Sam",1510,CRC,+1-(724)-740-6946,2458122.5,2458151.5,1
Mee Estes,5541978677490166708910541,1972,171-315-0011,0738062030388175619291479,"Social Choice & Welfare, Vol 39 No. 1",1867,Various,1661,Picador,+1-(351)-688-5454,2458311.5,2458314.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,2160973507186118159026709,Maqta-e-Ghalib,1594,"Garg, Sanjay",1933,Pan,1-663-594-1588,2458251.5,2458301.5,1
Yanira Wheeler,2357667128359497769894125,1997,+1-(102)-891-7197,4262304053838681055423921,Freedom at Midnight,1255,"Lapierre, Dominique",1804,Fontana,326.658.5696,2458167.5,2458204.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,8866364430157733565981420,Identity & Violence,1224,"Sen, Amartya",1705,Picador,+1-(351)-688-5454,2458197.5,2458252.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,6130961084475410259562053,"Outsider, The",1116,"Camus, Albert",1719,Elsevier,359.226.5396,2458223.5,2458227.5,1
Lonny Duffy,1315125572084926153778412,2012,773-202-5135,8196934346347309956031902,Ayn Rand Answers,1603,"Rand, Ayn",1805,Elsevier,359.226.5396,2458314.5,2458316.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,0181267315171344215266114,"Great Indian Novel, The",1574,"Tharoor, Shashi",1790,Elsevier,359.226.5396,2458146.5,2458179.5,1
Donetta Mcdonald,9610688376985651779371613,1971,1-428-201-3380,7468980519197442463280309,Jurassic Park,1956,"Crichton, Michael",1655,Vintage,1-501-202-7994,2458212.5,2458224.5,1
Gerald Roberts,9960311807383440268126404,1978,861.515.6683,1071164515386570537911911,False Impressions,1541,"Archer, Jeffery",1565,Picador,+1-(351)-688-5454,2458158.5,2458163.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,8581634005869585976632148,Tales of Mystery and Imagination,1041,"Poe, Edgar Allen",1410,Pearson,1-293-811-9652,2458238.5,2458249.5,1
Heidy Brown,3702063940161967967517232,1981,973.074.4226,9736983653740522373807717,Fundamentals of Wavelets,1306,"Goswami, Jaideva",1818,MIT Press,+1-(514)-735-5947,2458147.5,2458213.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,8515636458705279867774908,Crime and Punishment,1114,"Dostoevsky, Fyodor",1591,Springer,(279) 282-8193,2458125.5,2458126.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,3039879564191506356546440,"Moon and Sixpence, The",1594,"Maugham, William S",1611,vikas,084-702-6767,2458259.5,2458273.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,8676896388829220017846106,"City of Joy, The",1141,"Lapierre, Dominique",1804,Bodley Head,(172) 571-4178,2458278.5,2458306.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,8828920672659098875861306,New Markets & Other Essays,1255,"Drucker, Peter",1512,Penguin,824.149.4511,2458298.5,2458301.5,1
Asa Small,9637502981006384207558569,1971,1-240-960-8564,0216946763553402257190956,"Devil's Advocate, The",1200,"West, Morris",1967,Rupa,695-251-0415,2458127.5,2458130.5,1
Nickole Kennedy,9919412672346890097716227,2003,398-337-3180,6202628460726967379250742,"Pillars of the Earth, The",1957,"Follett, Ken",1559,Orient Blackswan,552-486-8974,2458158.5,2458168.5,1
Lynna Finch,5982102087757630126641232,2017,1-572-598-9027,5941082787677837868758445,Orientalism,1694,"Said, Edward",1919,Random,+1-(530)-757-4100,2458254.5,2458258.5,1
